1,Shantaram,Gregory David Roberts,2003
2,The Long Walk,Slawomir Rawicz,1956
3,Kon-Tiki,Thor Heyerdahl,1948
4,The Snow Leopard,Peter Matthiessen,1978
5,In Patagonia,Bruce Chatwin,1977
6,The Beach,Alex Garland,1996
7,The Road,Cormac McCarthy,2006
8,The Lost City of Z,David Grann,2009
9,Into the Wild,Jon Krakauer,1996
10,The Motorcycle Diaries,Che Guevara,1993
11,Tracks,Robyn Davidson,1980
12,Papillon,Henri Charriere,1969
13,The Way Back,Lilya Litvyak,2011
14,Seven Years in Tibet,Heinrich Harrer,1952
15,The Pilgrimage,Paulo Coelho,1987
16,A Walk in the Woods,Bill Bryson,1998
17,Desert Solitaire,Edward Abbey,1968
18,The River of Doubt,Candice Millard,2005
19,Endurance,Alfred Lansing,1959
20,The Narrow Road to the Deep North,Richard Flanagan,2013
